timestamp,index,name,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.free [MiB],memory.total [MiB],power.draw [W],temperature.gpu
2024/01/01 09:00:00.000,2,NVIDIA V100-SXM2-32GB,47.7 %,38.2 %,20086 MiB,20450 MiB,40536 MiB,166.62 W,59
2024/01/01 09:00:00.000,3,NVIDIA V100-SXM2-32GB,6.7 %,5.4 %,2996 MiB,37540 MiB,40536 MiB,62.16 W,38
2024/01/01 10:00:00.000,0,NVIDIA A100-SXM4-40GB,76.4 %,61.1 %,27857 MiB,12679 MiB,40536 MiB,319.73 W,73
2024/01/01 10:00:00.000,1,NVIDIA A100-SXM4-40GB,70.4 %,56.3 %,26985 MiB,13551 MiB,40536 MiB,299.23 W,70
2024/01/01 10:00:00.000,2,NVIDIA V100-SXM2-32GB,46.1 %,36.9 %,17961 MiB,22575 MiB,40536 MiB,162.59 W,58
2024/01/01 10:00:00.000,3,NVIDIA V100-SXM2-32GB,9.1 %,7.3 %,3068 MiB,37468 MiB,40536 MiB,68.28 W,40
2024/01/01 11:00:00.000,0,NVIDIA A100-SXM4-40GB,67.7 %,54.1 %,30130 MiB,10406 MiB,40536 MiB,290.05 W,69
2024/01/01 11:00:00.000,1,NVIDIA A100-SXM4-40GB,65.2 %,52.2 %,26924 MiB,13612 MiB,40536 MiB,281.65 W,68
2024/01/01 11:00:00.000,2,NVIDIA V100-SXM2-32GB,40.2 %,32.2 %,15563 MiB,24973 MiB,40536 MiB,147.50 W,55
2024/01/01 11:00:00.000,3,NVIDIA V100-SXM2-32GB,10.8 %,8.6 %,4796 MiB,35740 MiB,40536 MiB,72.51 W,40
2024/01/01 12:00:00.000,0,NVIDIA A100-SXM4-40GB,72.1 %,57.7 %,30007 MiB,10529 MiB,40536 MiB,305.03 W,71
2024/01/01 12:00:00.000,1,NVIDIA A100-SXM4-40GB,73.9 %,59.1 %,29454 MiB,11082 MiB,40536 MiB,311.20 W,72
2024/01/01 12:00:00.000,2,NVIDIA V100-SXM2-32GB,43.7 %,35.0 %,16779 MiB,23757 MiB,40536 MiB,156.52 W,57
2024/01/01 12:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1888 MiB,38648 MiB,40536 MiB,50.10 W,36
2024/01/01 13:00:00.000,0,NVIDIA A100-SXM4-40GB,76.2 %,60.9 %,29765 MiB,10771 MiB,40536 MiB,318.91 W,73
2024/01/01 13:00:00.000,1,NVIDIA A100-SXM4-40GB,66.7 %,53.4 %,28260 MiB,12276 MiB,40536 MiB,286.77 W,68
2024/01/01 13:00:00.000,2,NVIDIA V100-SXM2-32GB,38.7 %,31.0 %,16471 MiB,24065 MiB,40536 MiB,143.71 W,54
2024/01/01 13:00:00.000,3,NVIDIA V100-SXM2-32GB,4.0 %,3.2 %,1953 MiB,38583 MiB,40536 MiB,55.15 W,37
2024/01/01 14:00:00.000,0,NVIDIA A100-SXM4-40GB,75.1 %,60.1 %,30462 MiB,10074 MiB,40536 MiB,315.33 W,73
2024/01/01 14:00:00.000,1,NVIDIA A100-SXM4-40GB,68.3 %,54.6 %,27517 MiB,13019 MiB,40536 MiB,292.17 W,69
2024/01/01 14:00:00.000,2,NVIDIA V100-SXM2-32GB,43.0 %,34.4 %,17782 MiB,22754 MiB,40536 MiB,154.73 W,57
2024/01/01 14:00:00.000,3,NVIDIA V100-SXM2-32GB,7.1 %,5.7 %,3482 MiB,37054 MiB,40536 MiB,63.06 W,39
2024/01/01 15:00:00.000,0,NVIDIA A100-SXM4-40GB,85.4 %,68.3 %,33689 MiB,6847 MiB,40536 MiB,350.26 W,78
2024/01/01 15:00:00.000,1,NVIDIA A100-SXM4-40GB,69.0 %,55.2 %,26998 MiB,13538 MiB,40536 MiB,294.51 W,69
2024/01/01 15:00:00.000,2,NVIDIA V100-SXM2-32GB,38.0 %,30.4 %,15869 MiB,24667 MiB,40536 MiB,142.01 W,54
2024/01/01 15:00:00.000,3,NVIDIA V100-SXM2-32GB,6.1 %,4.9 %,3691 MiB,36845 MiB,40536 MiB,60.63 W,38
2024/01/01 16:00:00.000,0,NVIDIA A100-SXM4-40GB,79.7 %,63.8 %,30777 MiB,9759 MiB,40536 MiB,331.10 W,75
2024/01/01 16:00:00.000,1,NVIDIA A100-SXM4-40GB,68.1 %,54.5 %,26842 MiB,13694 MiB,40536 MiB,291.70 W,69
2024/01/01 16:00:00.000,2,NVIDIA V100-SXM2-32GB,51.0 %,40.8 %,19912 MiB,20624 MiB,40536 MiB,175.06 W,61
2024/01/01 16:00:00.000,3,NVIDIA V100-SXM2-32GB,15.3 %,12.2 %,6879 MiB,33657 MiB,40536 MiB,84.03 W,43
2024/01/01 17:00:00.000,0,NVIDIA A100-SXM4-40GB,70.3 %,56.2 %,26681 MiB,13855 MiB,40536 MiB,298.92 W,70
2024/01/01 17:00:00.000,1,NVIDIA A100-SXM4-40GB,65.8 %,52.6 %,26572 MiB,13964 MiB,40536 MiB,283.58 W,68
2024/01/01 17:00:00.000,2,NVIDIA V100-SXM2-32GB,52.2 %,41.8 %,20536 MiB,20000 MiB,40536 MiB,178.08 W,61
2024/01/01 17:00:00.000,3,NVIDIA V100-SXM2-32GB,8.9 %,7.1 %,2758 MiB,37778 MiB,40536 MiB,67.65 W,39
2024/01/01 18:00:00.000,0,NVIDIA A100-SXM4-40GB,14.3 %,11.5 %,4984 MiB,35552 MiB,40536 MiB,108.72 W,42
2024/01/01 18:00:00.000,1,NVIDIA A100-SXM4-40GB,4.7 %,3.7 %,929 MiB,39607 MiB,40536 MiB,75.83 W,37
2024/01/01 18:00:00.000,2,NVIDIA V100-SXM2-32GB,5.1 %,4.1 %,1707 MiB,38829 MiB,40536 MiB,57.93 W,38
2024/01/01 18:00:00.000,3,NVIDIA V100-SXM2-32GB,7.5 %,6.0 %,2474 MiB,38062 MiB,40536 MiB,64.08 W,39
2024/01/01 19:00:00.000,0,NVIDIA A100-SXM4-40GB,12.8 %,10.2 %,3844 MiB,36692 MiB,40536 MiB,103.53 W,41
2024/01/01 19:00:00.000,1,NVIDIA A100-SXM4-40GB,6.0 %,4.8 %,2571 MiB,37965 MiB,40536 MiB,80.50 W,38
2024/01/01 19:00:00.000,2,NVIDIA V100-SXM2-32GB,8.8 %,7.0 %,4033 MiB,36503 MiB,40536 MiB,67.33 W,39
2024/01/01 19:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,460 MiB,40076 MiB,40536 MiB,50.10 W,36
2024/01/01 20:00:00.000,0,NVIDIA A100-SXM4-40GB,13.5 %,10.8 %,5959 MiB,34577 MiB,40536 MiB,105.87 W,42
2024/01/01 20:00:00.000,1,NVIDIA A100-SXM4-40GB,10.0 %,8.0 %,3278 MiB,37258 MiB,40536 MiB,94.00 W,40
2024/01/01 20:00:00.000,2,NVIDIA V100-SXM2-32GB,12.1 %,9.7 %,3371 MiB,37165 MiB,40536 MiB,75.89 W,41
2024/01/01 20:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/01 21:00:00.000,0,NVIDIA A100-SXM4-40GB,9.1 %,7.3 %,2997 MiB,37539 MiB,40536 MiB,90.83 W,40
2024/01/01 21:00:00.000,1,NVIDIA A100-SXM4-40GB,3.9 %,3.1 %,1519 MiB,39017 MiB,40536 MiB,73.13 W,37
2024/01/01 21:00:00.000,2,NVIDIA V100-SXM2-32GB,14.0 %,11.2 %,5542 MiB,34994 MiB,40536 MiB,80.77 W,42
2024/01/01 21:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,2019 MiB,38517 MiB,40536 MiB,50.10 W,36
2024/01/01 22:00:00.000,0,NVIDIA A100-SXM4-40GB,10.0 %,8.0 %,4129 MiB,36407 MiB,40536 MiB,93.91 W,40
2024/01/01 22:00:00.000,1,NVIDIA A100-SXM4-40GB,3.9 %,3.1 %,1428 MiB,39108 MiB,40536 MiB,73.34 W,37
2024/01/01 22:00:00.000,2,NVIDIA V100-SXM2-32GB,5.9 %,4.7 %,3187 MiB,37349 MiB,40536 MiB,60.08 W,38
2024/01/01 22:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,913 MiB,39623 MiB,40536 MiB,50.10 W,36
2024/01/01 23:00:00.000,0,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,1527 MiB,39009 MiB,40536 MiB,66.80 W,36
2024/01/01 23:00:00.000,1,NVIDIA A100-SXM4-40GB,2.7 %,2.1 %,1666 MiB,38870 MiB,40536 MiB,69.13 W,36
2024/01/01 23:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/01 23:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/02 00:00:00.000,0,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,1776 MiB,38760 MiB,40536 MiB,66.80 W,36
2024/01/02 00:00:00.000,1,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,577 MiB,39959 MiB,40536 MiB,66.80 W,36
2024/01/02 00:00:00.000,2,NVIDIA V100-SXM2-32GB,8.9 %,7.1 %,3941 MiB,36595 MiB,40536 MiB,67.67 W,39
2024/01/02 00:00:00.000,3,NVIDIA V100-SXM2-32GB,3.0 %,2.4 %,463 MiB,40073 MiB,40536 MiB,52.75 W,37
2024/01/02 01:00:00.000,0,NVIDIA A100-SXM4-40GB,4.4 %,3.5 %,1548 MiB,38988 MiB,40536 MiB,74.88 W,37
2024/01/02 01:00:00.000,1,NVIDIA A100-SXM4-40GB,11.3 %,9.0 %,4415 MiB,36121 MiB,40536 MiB,98.27 W,41
2024/01/02 01:00:00.000,2,NVIDIA V100-SXM2-32GB,10.3 %,8.2 %,3708 MiB,36828 MiB,40536 MiB,71.22 W,40
2024/01/02 01:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1539 MiB,38997 MiB,40536 MiB,50.10 W,36
2024/01/02 02:00:00.000,0,NVIDIA A100-SXM4-40GB,7.1 %,5.7 %,2829 MiB,37707 MiB,40536 MiB,84.29 W,39
2024/01/02 02:00:00.000,1,NVIDIA A100-SXM4-40GB,11.5 %,9.2 %,1840 MiB,38696 MiB,40536 MiB,98.93 W,41
2024/01/02 02:00:00.000,2,NVIDIA V100-SXM2-32GB,6.7 %,5.3 %,4179 MiB,36357 MiB,40536 MiB,62.05 W,38
2024/01/02 02:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,2607 MiB,37929 MiB,40536 MiB,50.10 W,36
2024/01/02 03:00:00.000,0,NVIDIA A100-SXM4-40GB,6.9 %,5.5 %,2373 MiB,38163 MiB,40536 MiB,83.51 W,38
2024/01/02 03:00:00.000,1,NVIDIA A100-SXM4-40GB,3.5 %,2.8 %,0 MiB,40536 MiB,40536 MiB,72.07 W,37
2024/01/02 03:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1398 MiB,39138 MiB,40536 MiB,50.10 W,36
2024/01/02 03:00:00.000,3,NVIDIA V100-SXM2-32GB,2.8 %,2.2 %,0 MiB,40536 MiB,40536 MiB,52.14 W,36
2024/01/02 04:00:00.000,0,NVIDIA A100-SXM4-40GB,18.0 %,14.4 %,7772 MiB,32764 MiB,40536 MiB,121.23 W,44
2024/01/02 04:00:00.000,1,NVIDIA A100-SXM4-40GB,14.9 %,12.0 %,6095 MiB,34441 MiB,40536 MiB,110.81 W,42
2024/01/02 04:00:00.000,2,NVIDIA V100-SXM2-32GB,11.5 %,9.2 %,4009 MiB,36527 MiB,40536 MiB,74.41 W,41
2024/01/02 04:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1483 MiB,39053 MiB,40536 MiB,50.10 W,36
2024/01/02 05:00:00.000,0,NVIDIA A100-SXM4-40GB,5.8 %,4.6 %,1588 MiB,38948 MiB,40536 MiB,79.59 W,38
2024/01/02 05:00:00.000,1,NVIDIA A100-SXM4-40GB,9.5 %,7.6 %,4132 MiB,36404 MiB,40536 MiB,92.17 W,40
2024/01/02 05:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,825 MiB,39711 MiB,40536 MiB,50.10 W,36
2024/01/02 05:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,623 MiB,39913 MiB,40536 MiB,50.10 W,36
2024/01/02 06:00:00.000,0,NVIDIA A100-SXM4-40GB,12.1 %,9.7 %,4056 MiB,36480 MiB,40536 MiB,101.03 W,41
2024/01/02 06:00:00.000,1,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,588 MiB,39948 MiB,40536 MiB,66.80 W,36
2024/01/02 06:00:00.000,2,NVIDIA V100-SXM2-32GB,6.4 %,5.1 %,3089 MiB,37447 MiB,40536 MiB,61.21 W,38
2024/01/02 06:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,259 MiB,40277 MiB,40536 MiB,50.10 W,36
2024/01/02 07:00:00.000,0,NVIDIA A100-SXM4-40GB,10.3 %,8.2 %,4067 MiB,36469 MiB,40536 MiB,94.91 W,40
2024/01/02 07:00:00.000,1,NVIDIA A100-SXM4-40GB,6.1 %,4.9 %,2057 MiB,38479 MiB,40536 MiB,80.86 W,38
2024/01/02 07:00:00.000,2,NVIDIA V100-SXM2-32GB,5.8 %,4.7 %,2089 MiB,38447 MiB,40536 MiB,59.91 W,38
2024/01/02 07:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1655 MiB,38881 MiB,40536 MiB,50.10 W,36
2024/01/02 08:00:00.000,0,NVIDIA A100-SXM4-40GB,12.8 %,10.2 %,3760 MiB,36776 MiB,40536 MiB,103.35 W,41
2024/01/02 08:00:00.000,1,NVIDIA A100-SXM4-40GB,6.2 %,4.9 %,2531 MiB,38005 MiB,40536 MiB,81.03 W,38
2024/01/02 08:00:00.000,2,NVIDIA V100-SXM2-32GB,14.0 %,11.2 %,4923 MiB,35613 MiB,40536 MiB,80.59 W,42
2024/01/02 08:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/02 09:00:00.000,0,NVIDIA A100-SXM4-40GB,73.4 %,58.7 %,30063 MiB,10473 MiB,40536 MiB,309.50 W,72
2024/01/02 09:00:00.000,1,NVIDIA A100-SXM4-40GB,73.0 %,58.4 %,28992 MiB,11544 MiB,40536 MiB,308.11 W,71
2024/01/02 09:00:00.000,2,NVIDIA V100-SXM2-32GB,37.8 %,30.2 %,15644 MiB,24892 MiB,40536 MiB,141.35 W,54
2024/01/02 09:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/02 10:00:00.000,0,NVIDIA A100-SXM4-40GB,77.9 %,62.3 %,31472 MiB,9064 MiB,40536 MiB,324.72 W,74
2024/01/02 10:00:00.000,1,NVIDIA A100-SXM4-40GB,71.4 %,57.1 %,28177 MiB,12359 MiB,40536 MiB,302.83 W,71
2024/01/02 10:00:00.000,2,NVIDIA V100-SXM2-32GB,40.8 %,32.6 %,14432 MiB,26104 MiB,40536 MiB,149.01 W,55
2024/01/02 10:00:00.000,3,NVIDIA V100-SXM2-32GB,7.4 %,5.9 %,4269 MiB,36267 MiB,40536 MiB,63.84 W,39
2024/01/02 11:00:00.000,0,NVIDIA A100-SXM4-40GB,79.0 %,63.2 %,32122 MiB,8414 MiB,40536 MiB,328.53 W,74
2024/01/02 11:00:00.000,1,NVIDIA A100-SXM4-40GB,73.2 %,58.6 %,30771 MiB,9765 MiB,40536 MiB,308.94 W,72
2024/01/02 11:00:00.000,2,NVIDIA V100-SXM2-32GB,50.9 %,40.7 %,20594 MiB,19942 MiB,40536 MiB,174.87 W,60
2024/01/02 11:00:00.000,3,NVIDIA V100-SXM2-32GB,11.4 %,9.2 %,5123 MiB,35413 MiB,40536 MiB,74.17 W,41
2024/01/02 12:00:00.000,0,NVIDIA A100-SXM4-40GB,70.9 %,56.7 %,28499 MiB,12037 MiB,40536 MiB,300.91 W,70
2024/01/02 12:00:00.000,1,NVIDIA A100-SXM4-40GB,67.2 %,53.8 %,27568 MiB,12968 MiB,40536 MiB,288.57 W,69
2024/01/02 12:00:00.000,2,NVIDIA V100-SXM2-32GB,43.4 %,34.7 %,17426 MiB,23110 MiB,40536 MiB,155.75 W,57
2024/01/02 12:00:00.000,3,NVIDIA V100-SXM2-32GB,7.1 %,5.7 %,3596 MiB,36940 MiB,40536 MiB,63.01 W,39
2024/01/02 13:00:00.000,0,NVIDIA A100-SXM4-40GB,79.0 %,63.2 %,33021 MiB,7515 MiB,40536 MiB,328.46 W,74
2024/01/02 13:00:00.000,1,NVIDIA A100-SXM4-40GB,66.0 %,52.8 %,27029 MiB,13507 MiB,40536 MiB,284.42 W,68
2024/01/02 13:00:00.000,2,NVIDIA V100-SXM2-32GB,41.7 %,33.4 %,15917 MiB,24619 MiB,40536 MiB,151.38 W,56
2024/01/02 13:00:00.000,3,NVIDIA V100-SXM2-32GB,4.4 %,3.6 %,2107 MiB,38429 MiB,40536 MiB,56.33 W,37
2024/01/02 14:00:00.000,0,NVIDIA A100-SXM4-40GB,79.3 %,63.5 %,32364 MiB,8172 MiB,40536 MiB,329.69 W,75
2024/01/02 14:00:00.000,1,NVIDIA A100-SXM4-40GB,77.6 %,62.0 %,30939 MiB,9597 MiB,40536 MiB,323.68 W,74
2024/01/02 14:00:00.000,2,NVIDIA V100-SXM2-32GB,38.9 %,31.1 %,15587 MiB,24949 MiB,40536 MiB,144.09 W,54
2024/01/02 14:00:00.000,3,NVIDIA V100-SXM2-32GB,9.2 %,7.3 %,4226 MiB,36310 MiB,40536 MiB,68.37 W,40
2024/01/02 15:00:00.000,0,NVIDIA A100-SXM4-40GB,66.9 %,53.5 %,26131 MiB,14405 MiB,40536 MiB,287.51 W,68
2024/01/02 15:00:00.000,1,NVIDIA A100-SXM4-40GB,78.4 %,62.7 %,31532 MiB,9004 MiB,40536 MiB,326.66 W,74
2024/01/02 15:00:00.000,2,NVIDIA V100-SXM2-32GB,53.1 %,42.5 %,19768 MiB,20768 MiB,40536 MiB,180.39 W,62
2024/01/02 15:00:00.000,3,NVIDIA V100-SXM2-32GB,11.2 %,8.9 %,4381 MiB,36155 MiB,40536 MiB,73.49 W,41
2024/01/02 16:00:00.000,0,NVIDIA A100-SXM4-40GB,62.7 %,50.1 %,23905 MiB,16631 MiB,40536 MiB,273.09 W,66
2024/01/02 16:00:00.000,1,NVIDIA A100-SXM4-40GB,71.1 %,56.9 %,29379 MiB,11157 MiB,40536 MiB,301.83 W,71
2024/01/02 16:00:00.000,2,NVIDIA V100-SXM2-32GB,45.2 %,36.2 %,17940 MiB,22596 MiB,40536 MiB,160.37 W,58
2024/01/02 16:00:00.000,3,NVIDIA V100-SXM2-32GB,6.6 %,5.3 %,2039 MiB,38497 MiB,40536 MiB,61.93 W,38
2024/01/02 17:00:00.000,0,NVIDIA A100-SXM4-40GB,82.7 %,66.1 %,32612 MiB,7924 MiB,40536 MiB,341.05 W,76
2024/01/02 17:00:00.000,1,NVIDIA A100-SXM4-40GB,72.1 %,57.7 %,28379 MiB,12157 MiB,40536 MiB,305.05 W,71
2024/01/02 17:00:00.000,2,NVIDIA V100-SXM2-32GB,43.2 %,34.5 %,17659 MiB,22877 MiB,40536 MiB,155.04 W,57
2024/01/02 17:00:00.000,3,NVIDIA V100-SXM2-32GB,12.4 %,9.9 %,5001 MiB,35535 MiB,40536 MiB,76.56 W,41
2024/01/02 18:00:00.000,0,NVIDIA A100-SXM4-40GB,2.3 %,1.8 %,575 MiB,39961 MiB,40536 MiB,67.68 W,36
2024/01/02 18:00:00.000,1,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,66.80 W,36
2024/01/02 18:00:00.000,2,NVIDIA V100-SXM2-32GB,3.3 %,2.7 %,3101 MiB,37435 MiB,40536 MiB,53.54 W,37
2024/01/02 18:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/02 19:00:00.000,0,NVIDIA A100-SXM4-40GB,8.8 %,7.1 %,2144 MiB,38392 MiB,40536 MiB,90.06 W,39
2024/01/02 19:00:00.000,1,NVIDIA A100-SXM4-40GB,2.5 %,2.0 %,1395 MiB,39141 MiB,40536 MiB,68.35 W,36
2024/01/02 19:00:00.000,2,NVIDIA V100-SXM2-32GB,4.9 %,3.9 %,1606 MiB,38930 MiB,40536 MiB,57.42 W,37
2024/01/02 19:00:00.000,3,NVIDIA V100-SXM2-32GB,7.9 %,6.3 %,1481 MiB,39055 MiB,40536 MiB,65.09 W,39
2024/01/02 20:00:00.000,0,NVIDIA A100-SXM4-40GB,7.3 %,5.8 %,1609 MiB,38927 MiB,40536 MiB,84.81 W,39
2024/01/02 20:00:00.000,1,NVIDIA A100-SXM4-40GB,12.1 %,9.7 %,4986 MiB,35550 MiB,40536 MiB,101.11 W,41
2024/01/02 20:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,101 MiB,40435 MiB,40536 MiB,50.10 W,36
2024/01/02 20:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,998 MiB,39538 MiB,40536 MiB,50.10 W,36
2024/01/02 21:00:00.000,0,NVIDIA A100-SXM4-40GB,11.1 %,8.9 %,4309 MiB,36227 MiB,40536 MiB,97.85 W,41
2024/01/02 21:00:00.000,1,NVIDIA A100-SXM4-40GB,10.5 %,8.4 %,5697 MiB,34839 MiB,40536 MiB,95.75 W,40
